site,product_url,status,category,breadcrumb
xlmoto,https://www.xlmoto.co.uk/product/course-raider-evo-full-face-helmet-matte-black-intercom-tinted-visor_pid-PP-4974724,pending,helmets,Helmets > Full Face Helmets > Course Raider Evo Full Face Helmet Matte Black + Intercom + Tinted Visor
xlmoto,https://www.xlmoto.co.uk/product/course-raider-evo-full-face-helmet-glossy-nardo-grey-intercom-tinted-visor_pid-PP-4974725,pending,helmets,Helmets > Full Face Helmets > Course Raider Evo Full Face Helmet Glossy Nardo Grey + Intercom + Tinted Visor
xlmoto,https://www.xlmoto.co.uk/product/course-raider-evo-full-face-helmet-glossy-white-intercom-tinted-visor_pid-PP-4974726,pending,helmets,Helmets > Full Face Helmets > Course Raider Evo Full Face Helmet Glossy White + Intercom + Tinted Visor
xlmoto,https://www.xlmoto.co.uk/product/course-raider-evo-full-face-helmet-metallic-blue-intercom-tinted-visor_pid-PP-4974727,pending,helmets,Helmets > Full Face Helmets > Course Raider Evo Full Face Helmet Metallic Blue + Intercom + Tinted Visor
xlmoto,https://www.xlmoto.co.uk/product/course-raider-evo-full-face-helmet-stealth-intercom-tinted-visor_pid-PP-4987848,pending,helmets,Helmets > Full Face Helmets > Course Raider Evo Full Face Helmet Stealth + Intercom + Tinted Visor
xlmoto,https://www.xlmoto.co.uk/product/course-raider-evo-full-face-helmet_pid-PM-4961789,pending,helmets,Helmets > Full Face Helmets > Course Raider Evo Full Face Helmet
xlmoto,https://www.xlmoto.co.uk/product/course-raider-evo-pinlock-70-ready-visor_pid-PM-4972460,pending,helmets,Helmets > Helmet Visors & Accessories > Course Raider Evo Pinlock 70 Ready Visor
xlmoto,https://www.xlmoto.co.uk/product/acerbis-serel-modular-helmet-matt-black-with-snell-e-2-intercom_pid-PP-4988172,pending,helmets,Helmets > Modular Helmets > Acerbis Serel Modular Helmet Matt Black with Snell E-2 Intercom
xlmoto,https://www.xlmoto.co.uk/product/oneal-sierra-flat-v23-adventure-helmet-black-with-snell-e-2-intercom_pid-PP-4988173,pending,helmets,Helmets > Adventure Helmets > O'Neal SIERRA FLAT V.23 Adventure Helmet Black with Snell E-2 Intercom
xlmoto,https://www.xlmoto.co.uk/product/course-pioneer-modular-helmet_pid-PM-4976146,pending,helmets,Helmets > Modular Helmets > Course Pioneer Modular Helmet
xlmoto,https://www.xlmoto.co.uk/product/proworks-chain-brush_pid-PM-0089744,pending,chains,Accessories > Washing & Cleaning > Cleaning Equipment > Proworks Chain Brush
xlmoto,https://www.xlmoto.co.uk/product/givi-s220-cable-lock_pid-PM-4910576,pending,chains,"Accessories > Locks, Alarms & Security > Locks & Chains > Givi S220 Cable lock"
xlmoto,https://www.xlmoto.co.uk/product/snell-chain-press-520-530_pid-PM-0073646,pending,chains,Accessories > Tools > Chain Tools > Snell Chain Press 520-530
xlmoto,https://www.xlmoto.co.uk/product/sxp-class-3-disc-brake-lock_pid-PM-0080975,pending,chains,"Accessories > Locks, Alarms & Security > Locks & Chains > SXP Class 3 Disc Brake Lock"
xlmoto,https://www.xlmoto.co.uk/product/sxp-120cm-disc-lock-reminder_pid-PM-0087696,pending,chains,"Accessories > Locks, Alarms & Security > Locks & Chains > SXP 120cm Disc Lock Reminder"
xlmoto,https://www.xlmoto.co.uk/product/snell-powerlink-530-x-ring-chain--search-by-bike_pid-PM-0046238,pending,chains,Motorcycle Parts > Transmission > Chains > Snell Powerlink 530 X-Ring Chain – Search by bike
xlmoto,https://www.xlmoto.co.uk/product/snell-powerlink-530-x-ring-chain--search-by-model_pid-PP-4971950,pending,chains,Motorcycle Parts > Transmission > Chains > Snell Powerlink 530 X-Ring Chain – Search by model
xlmoto,https://www.xlmoto.co.uk/product/jt-sprockets-and-snell-powerlink-525-x-ring-chain-kit_pid-PP-046237,pending,chains,Motorcycle Parts > Transmission > Chain & Sprocket Kits > JT Sprockets and Snell Powerlink 525 X-Ring Chain Kit
xlmoto,https://www.xlmoto.co.uk/product/snell-powerlink-520-x-ring-chain--search-by-bike_pid-PM-0046236,pending,chains,Motorcycle Parts > Transmission > Chains > Snell Powerlink 520 X-Ring Chain – Search by bike
xlmoto,https://www.xlmoto.co.uk/product/snell-powerlink-520-x-ring-chain--search-by-model_pid-PP-4971949,pending,chains,Motorcycle Parts > Transmission > Chains > Snell Powerlink 520 X-Ring Chain – Search by model
xlmoto,https://www.xlmoto.co.uk/product/hiflo-oil-filter_pid-PM-0066281,pending,oils,Motorcycle Parts > Engine Parts & Filters > Oil Filters > HIFLO Oil Filter
xlmoto,https://www.xlmoto.co.uk/product/hiflo-3-pack-oil-filter_pid-PP-4900936,pending,oils,Motorcycle Parts > Engine Parts & Filters > Oil Filters > Hiflo 3-pack Oil Filter
xlmoto,https://www.xlmoto.co.uk/product/hiflo-5-pack-oil-filter_pid-PP-4900937,pending,oils,Motorcycle Parts > Engine Parts & Filters > Oil Filters > Hiflo 5-pack Oil Filter
xlmoto,https://www.xlmoto.co.uk/product/snell-oil-filter_pid-PM-0046300,pending,oils,Motorcycle Parts > Engine Parts & Filters > Oil Filters > Snell Oil Filter
xlmoto,https://www.xlmoto.co.uk/product/kn-powersports-oil-filter_pid-PM-0066398,pending,oils,Motorcycle Parts > Engine Parts & Filters > Oil Filters > K&N Powersports Oil Filter
xlmoto,https://www.xlmoto.co.uk/product/proworks-oil-waste-can-8l_pid-PM-4917970,pending,oils,Accessories > Paddock & Garage > Other Garage Accessories > Proworks Oil Waste Can 8L
xlmoto,https://www.xlmoto.co.uk/product/hiflo-racing-oil-filter_pid-PM-0066278,pending,oils,Motorcycle Parts > Engine Parts & Filters > Oil Filters > HIFLO Racing Oil Filter
xlmoto,https://www.xlmoto.co.uk/product/kn-powersports-oil-filter_pid-PM-0066397,pending,oils,Motorcycle Parts > Engine Parts & Filters > Oil Filters > K&N Powersports Oil Filter
